Time,Indoor Temperature(C),Indoor Humidity(%),Outdoor Temperature(C),Outdoor Humidity(%),Dew Point(C),Wind Chill(C),Heat Index(C),ABS Pressure(mmhg),REL Pressure(mmhg),Wind(m/s),Gust(m/s),Wind Direction(deg),Rain Event(mm),Rain Rate(mm/h),Hour Rain(mm),Daily Rain(mm),Weekly Rain(mm),Monthly Rain(mm),Yearly Rain(mm),Total Rain(mm),Solar Rad(w/m2),UVI,Soilmoisture(%),PM2.5(ug/m3),leafwetness(%),Temperature(C)
2024/11/26 14:43:22,40.6,56,41.3,40,25.0,41.3,51.0,755.6,755.4,0,0,259,0,0,0,0,0,0,0,0,0,0,-,6553,-,-
2024/11/26 14:44:22,40.6,56,41.3,40,25.0,41.3,51.0,755.7,755.5,0,0,259,0,0,0,0,0,0,0,0,0,0,-,6553,-,-
2024/11/26 14:45:22,40.6,56,41.3,40,25.0,41.3,51.0,755.7,755.6,0,0,259,0,0,0,0,0,0,0,0,0,0,-,6553,-,-
2024/11/26 14:46:22,40.6,56,41.3,40,25.0,41.3,51.0,755.7,755.5,0,0,259,0,0,0,0,0,0,0,0,0,0,-,6553,-,-
2024/11/26 14:47:22,40.6,56,41.3,40,25.0,41.3,51.0,755.8,755.7,0,0,259,0,0,0,0,0,0,0,0,0,0,-,6553,-,-
2024/11/26 14:48:22,40.6,56,41.4,40,25.1,41.4,51.0,755.9,755.7,0,0,259,0,0,0,0,0,0,0,0,0,0,-,6553,-,-
2024/11/26 14:49:22,40.6,56,41.4,39,24.7,41.4,51.0,755.7,755.6,0,0,259,0,0,0,0,0,0,0,0,0,0,-,6553,-,-
2024/11/26 14:50:22,40.5,56,41.4,39,24.7,41.4,51.0,755.7,755.6,0,0,259,0,0,0,0,0,0,0,0,0,0,-,6553,-,-
2024/11/26 14:51:22,40.5,56,41.4,39,24.7,41.4,51.0,755.7,755.6,0,0,259,0,0,0,0,0,0,0,0,0,0,-,6553,-,-
2024/11/26 14:52:22,40.6,56,41.4,39,24.7,41.4,51.0,755.6,755.4,0,0,259,0,0,0,0,0,0,0,0,0,0,-,6553,-,-
2024/11/26 14:53:22,40.5,56,41.4,39,24.7,41.4,51.0,755.7,755.5,0,0,259,0,0,0,0,0,0,0,0,0,0,-,6553,-,-
2024/11/26 14:54:22,40.5,56,41.4,39,24.7,41.4,51.0,755.9,755.7,0,0,259,0,0,0,0,0,0,0,0,0,0,-,6553,-,-
2024/11/26 14:55:22,40.5,56,41.4,39,24.7,41.4,51.0,756.0,755.8,0,0,259,0,0,0,0,0,0,0,0,0,0,-,6553,-,-
2024/11/26 14:56:22,40.5,56,41.4,38,24.3,41.4,50.0,756.0,755.8,0,0,264,0.3,1.8,0.3,0.3,0.3,0.3,0.3,0.3,32.05,0,-,6553,-,-
2024/11/26 14:57:22,40.5,55,41.3,37,23.7,41.3,49.0,755.8,755.7,0,0,262,0.9,5.4,0.9,0.9,0.9,0.9,0.9,0.9,27.65,0,-,6553,-,-
2024/11/26 14:58:22,40.4,55,41.0,40,24.8,41.0,50.0,755.8,755.7,0,0,265,6.3,37.8,6.3,6.3,6.3,6.3,6.3,6.3,87.59,0,-,6553,-,-
2024/11/26 14:59:22,40.4,55,39.3,46,25.6,39.3,49.0,755.7,755.6,0,0,272,6.9,41.4,6.9,6.9,6.9,6.9,6.9,6.9,5.63,0,-,6553,-,-
2024/11/26 15:00:22,40.4,55,37.3,49,24.8,37.3,46.0,756.3,756.2,0,0,277,7.2,43.2,0,7.2,7.2,7.2,7.2,7.2,0.36,0,-,6553,-,-
2024/11/26 15:01:22,40.4,55,35.3,54,24.6,35.3,43.0,755.8,755.7,0,0,278,7.5,45.0,0.3,7.5,7.5,7.5,7.5,7.5,1.22,0,-,6553,-,-
2024/11/26 15:02:22,40.4,55,34.0,54,23.4,34.0,39.0,755.5,755.4,0,0,269,7.8,46.8,0.6,7.8,7.8,7.8,7.8,7.8,1.22,0,-,6553,-,-
2024/11/26 15:03:22,40.4,55,32.9,55,22.7,32.9,37.0,755.8,755.7,0,0,258,11.7,70.2,4.5,11.7,11.7,11.7,11.7,11.7,2.08,0,-,6553,-,-
2024/11/26 15:04:22,40.4,55,32.0,56,22.2,32.0,35.0,756.3,756.2,0,0,257,15.9,95.4,8.7,15.9,15.9,15.9,15.9,15.9,22.02,0,-,6553,-,-
2024/11/26 15:05:22,40.4,55,31.7,58,22.5,31.7,35.0,756.7,756.6,0,0,255,18.6,111.6,11.4,18.6,18.6,18.6,18.6,18.6,15.17,0,-,6553,-,-
2024/11/26 15:06:22,40.4,55,31.5,59,22.6,31.5,35.0,756.3,756.2,0,0,257,20.7,124.2,13.5,20.7,20.7,20.7,20.7,20.7,26.79,0,-,6553,-,-
2024/11/26 15:07:22,40.4,55,31.3,63,23.4,31.3,36.0,756.5,756.3,0,0,265,21.0,120.6,13.8,21.0,21.0,21.0,21.0,21.0,64.96,0,-,6553,-,-
