Time,Indoor Temperature(C),Indoor Humidity(%),Outdoor Temperature(C),Outdoor Humidity(%),Dew Point(C),Wind Chill(C),Heat Index(C),ABS Pressure(mmhg),REL Pressure(mmhg),Wind(m/s),Gust(m/s),Wind Direction(deg),Rain Event(mm),Rain Rate(mm/h),Hour Rain(mm),Daily Rain(mm),Weekly Rain(mm),Monthly Rain(mm),Yearly Rain(mm),Total Rain(mm),Solar Rad(w/m2),UVI,Soilmoisture(%),PM2.5(ug/m3),leafwetness(%),Temperature(C)
2024/12/01 0:00:22,40.4,55,22.0,99,21.9,22.0,22.0,760.3,760.2,0,0,223,71.1,0,0,0,0,0,71.1,71.1,0,0,-,6553,-,-
2024/12/01 0:01:22,40.4,55,22.0,99,21.9,22.0,22.0,760.2,760.1,0,0,223,71.1,0,0,0,0,0,71.1,71.1,0,0,-,6553,-,-
2024/12/01 0:02:22,40.4,55,22.0,99,21.9,22.0,22.0,760.3,760.2,0,0,223,71.1,0,0,0,0,0,71.1,71.1,0,0,-,6553,-,-
2024/12/01 0:03:22,40.4,55,22.0,99,21.9,22.0,22.0,760.3,760.2,0,0,223,71.1,0,0,0,0,0,71.1,71.1,0,0,-,6553,-,-
2024/12/01 0:04:22,40.4,55,22.0,99,21.9,22.0,22.0,760.5,760.4,0,0,223,71.1,0,0,0,0,0,71.1,71.1,0,0,-,6553,-,-
2024/12/01 0:05:22,40.4,55,22.0,99,21.9,22.0,22.0,760.4,760.2,0,0,223,71.1,0,0,0,0,0,71.1,71.1,0,0,-,6553,-,-
2024/12/01 0:06:22,40.4,55,22.0,99,21.9,22.0,22.0,760.3,760.2,0,0,223,71.1,0,0,0,0,0,71.1,71.1,0,0,-,6553,-,-
2024/12/01 0:07:22,40.4,55,22.0,99,21.9,22.0,22.0,760.5,760.3,0,0,223,71.1,0,0,0,0,0,71.1,71.1,0,0,-,6553,-,-
2024/12/01 0:08:22,40.4,55,22.0,99,21.9,22.0,22.0,760.3,760.2,0,0,223,71.1,0,0,0,0,0,71.1,71.1,0,0,-,6553,-,-
2024/12/01 0:09:22,40.4,55,22.0,99,21.9,22.0,22.0,760.2,760.0,0,0,223,71.1,0,0,0,0,0,71.1,71.1,0,0,-,6553,-,-
